Hour,Average Temperature
12:00 AM,45.62344262295084
01:00 AM,44.762786885245895
02:00 AM,43.98081967213117
03:00 AM,43.32524590163935
04:00 AM,42.74442622950817
05:00 AM,42.29196721311476
06:00 AM,42.85950819672133
07:00 AM,43.831311475409805
08:00 AM,45.28065573770489
09:00 AM,46.98721311475408
10:00 AM,48.699672131147494
11:00 AM,50.193770491803285
12:00 PM,51.541803278688555
01:00 PM,52.50868852459016
02:00 PM,53.1967213114754
03:00 PM,53.391475409836055
04:00 PM,53.17803278688522
05:00 PM,52.29770491803276
06:00 PM,51.18131147540983
07:00 PM,50.04131147540981
08:00 PM,48.8481967213115
09:00 PM,47.85180327868851
10:00 PM,47.06491803278684
11:00 PM,46.39704918032784
